Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE
2026-01-12 22:35:13,20,PoolNoodle,69.565,21.52,18,18,0,2.987,50,100,69.231,66.667,21,33,80,115,1,5,0
2026-01-12 22:35:13,13,cafezinho,66.154,13.497,7,13,0,3.93,35,100,73.684,61,15,13,86,130,5,0,1
2026-01-12 22:35:13,9,Milar,50,7.935,2,13,0,4.415,16,90.909,63.158,43,7,5,65,130,5,0,1
2026-01-12 22:35:13,12,mkby,49.167,8.844,3,19,0,4.237,21,93.75,27.273,44.086,5,14,59,120,1,5,0
2026-01-12 22:35:13,9,thjalago,48.031,10.634,6,22,0,3.885,31,80,23.529,49,10,14,61,127,4,1,1
2026-01-12 22:35:13,10,Provenance,45,7.754,5,19,0,4.37,15,93.75,27.273,38.71,7,6,54,120,1,5,0
2026-01-12 22:35:13,10,kar72,44.094,7.187,3,22,0,4.482,16,90,41.176,40,5,9,56,127,4,1,1
2026-01-12 22:35:13,5,AnotherWish,35.385,5.044,2,13,0,4.717,10,45.455,47.368,32,5,4,46,130,5,0,1
2026-01-12 22:35:13,6,FeyFey,23.622,2.633,0,22,1,5.2,6,40,17.647,23,0,3,30,127,4,1,1
2026-01-12 22:35:13,6,JustAWeirdo,22.5,2.676,0,19,0,5,6,37.5,0,22.581,0,4,27,120,1,5,0
2026-01-12 22:35:13,4,RyoutaVN,20.472,2.132,0,22,1,5.385,4,60,17.647,17,2,2,26,127,4,1,1
2026-01-12 22:35:13,7,Kirox,19.13,2.529,0,18,0,4.818,5,55.556,15.385,16.129,1,3,22,115,1,5,0
2026-01-12 22:35:13,3,Tvaz,16.923,1.762,0,13,2,5.136,3,72.727,10.526,12,2,0,22,130,5,0,1
2026-01-12 22:35:13,1,ElJuanchi,16.522,2.524,0,18,1,4.579,6,33.333,0,17.204,3,1,19,115,1,5,0
2026-01-12 22:35:13,2,xeyz,7.826,0.734,0,18,1,5.556,1,44.444,23.077,2.151,1,0,9,115,1,5,0
2026-01-12 22:35:13,1,FoopyPoopy,7.5,0.922,1,19,0,5.667,2,37.5,0,3.226,1,0,9,120,1,5,0
,,,,,,,,,,,,,,,,,,,
2026-01-30 22:31:02,19,PoolNoodle,76.087,20.192,17,16,1,2.867,79,92.857,66.667,75.472,20,47,105,138,2,4,0
2026-01-30 22:31:02,16,cafezinho,59.74,13.7,5,12,0,3.196,30,90.909,42.857,55.932,6,17,46,77,2,1,0
2026-01-30 22:31:02,12,atsui,56.97,9.608,8,23,1,3.745,38,68.182,50,56,12,18,94,165,1,4,1
2026-01-30 22:31:02,12,Milar,52.941,8.575,1,7,1,3.667,17,100,60,46.154,5,6,36,68,3,0,0
2026-01-30 22:31:02,10,kar72,47.101,7.786,3,26,0,3.677,32,78.947,38.462,42.453,7,16,65,138,3,2,1
2026-01-30 22:31:02,12,mkby,46.061,4.822,0,23,0,4.237,22,90.909,55.556,36.8,4,9,76,165,1,4,1
2026-01-30 22:31:02,12,thjalago,44.928,7.744,3,26,1,3.645,29,57.895,15.385,46.226,9,12,62,138,3,2,1
2026-01-30 22:31:02,10,Provenance,44.828,8.069,6,19,1,3.631,32,58.824,41.176,43.243,11,9,65,145,5,1,0
2026-01-30 22:31:02,5,NMapper,32.121,4.81,5,23,6,4.075,18,54.545,44.444,26.4,8,7,53,165,1,4,1
2026-01-30 22:31:02,8,AnotherWish,28.986,4.268,3,26,3,3.975,15,42.105,38.462,25.472,6,5,40,138,3,2,1
2026-01-30 22:31:02,6,FeyFey,26.812,2.981,0,16,2,4.162,14,57.143,33.333,21.698,1,1,37,138,2,4,0
2026-01-30 22:31:02,3,ElJuanchi,21.379,2.569,1,19,5,4.258,13,41.176,29.412,17.117,2,3,31,145,5,1,0
2026-01-30 22:31:02,4,qwecocacola,16.667,1.95,1,16,6,4.304,7,21.429,5.556,17.925,3,2,23,138,2,4,0
,,,,,,,,,,,,,,,,,,,
2026-02-10 16:15:25,13,atsui,59.055,12.229,12,17,0,3.6,40,63.636,50,59.434,19,15,75,127,5,1,0
2026-02-10 16:15:25,12,thjalago,55.039,10.436,6,20,0,3.69,40,66.667,0,57.798,15,20,71,129,4,2,0
2026-02-10 16:15:25,14,Yokipi,50.735,10.022,6,21,0,3.464,37,46.667,50,51.327,12,25,69,136,3,3,0
2026-02-10 16:15:25,9,neoburnz,50,6.993,5,24,0,4.5,24,83.333,60,43.519,9,15,68,136,0,6,0
2026-02-10 16:15:25,5,Beokros,40.945,5.942,4,17,0,4.385,18,63.636,40,38.679,10,2,52,127,5,1,0
2026-02-10 16:15:25,7,Skychael,36.029,3.434,0,24,0,5.184,9,72.222,50,28.704,3,5,49,136,0,6,0
2026-02-10 16:15:25,4,Bommie,34.646,3.692,1,17,1,4.886,12,54.545,10,34.906,3,5,44,127,5,1,0
2026-02-10 16:15:25,3,MintyDude,29.457,5.636,7,20,3,3.842,17,25,12.5,31.193,12,1,38,129,4,2,0
2026-02-10 16:15:25,6,FeyFey,27.206,2.656,1,24,1,5.351,7,66.667,20,21.296,4,4,37,136,0,6,0
2026-02-10 16:15:25,6,JustAWeirdo,27.132,3.319,0,20,1,4.714,11,33.333,0,28.44,6,4,35,129,4,2,0
2026-02-10 16:15:25,4,qwecocacola,27.132,3.046,2,20,1,4.857,8,50,25,24.771,3,2,35,129,4,2,0
2026-02-10 16:15:25,2,RyoutaVN,25.735,2.553,2,24,0,5.457,7,61.111,20,20.37,5,1,35,136,0,6,0
2026-02-10 16:15:25,3,Tvaz,21.324,3.435,2,21,0,4.034,13,53.333,12.5,17.699,3,5,29,136,3,3,0
2026-02-10 16:15:25,4,ElJuanchi,20.588,2.562,1,21,0,4.536,9,33.333,25,18.584,1,5,28,136,3,3,0
2026-02-10 16:15:25,3,labranche,14.706,3.08,2,21,3,3.35,11,20,0,15.044,7,2,20,136,3,3,0
2026-02-10 16:15:25,2,anicomi,9.449,0.921,2,17,3,6,2,36.364,0,7.547,2,0,12,127,5,1,0
,,,,,,,,,,,,,,,,,,,
2026-03-01 22:02:42,12,labranche,75.556,18.681,11,6,0,3.922,55,100,68.421,75.455,13,27,102,135,4,1,1
2026-03-01 22:02:42,14,Yokipi,74.803,19.699,8,12,0,3.611,48,83.333,82.353,73.077,9,35,95,127,2,3,1
2026-03-01 22:02:42,14,Chata,70.992,15.219,5,6,0,4.032,42,91.667,80,66.667,6,20,93,131,5,1,0
2026-03-01 22:02:42,19,PoolNoodle,68.217,17.518,8,16,0,3.693,46,91.667,72.222,64.646,8,39,88,129,0,6,0
2026-03-01 22:02:42,8,NMapper,51.145,9.706,4,6,1,4.313,22,66.667,50,49.495,5,7,67,131,5,1,0
2026-03-01 22:02:42,12,thjalago,42.222,7.15,2,6,1,4.789,22,50,26.316,44.545,2,6,57,135,4,1,1
2026-03-01 22:02:42,11,Provenance,37.008,4.751,0,12,1,4.894,6,66.667,35.294,35.577,1,2,47,127,2,3,1
2026-03-01 22:02:42,8,CipherKai,34.351,4.676,2,6,1,5.067,9,50,30,33.333,2,2,45,131,5,1,0
2026-03-01 22:02:42,3,SaoriHayami,30.37,2.899,0,6,1,5.732,7,50,21.053,30.909,1,3,41,135,4,1,1
