Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples
386,Coglionedown,46.118,1.4,0.5,5.095,4.1,5.5,147.4,26,27,5,10
388,Tsuni,8.0,1.0,1.0,4.5,1.0,0.0,100.0,2,3,0,1
398,kabao,38.99,1.0,2.0,5.324,3.0,4.0,144.5,9,10,2,4
399,ElJuanchi,7.921,0.0,0.0,5.75,0.0,0.0,101.0,0,5,0,1
400,Vr0003,21.488,0.0,0.0,5.192,1.0,2.0,121.0,1,4,0,1
401,Spartric,28.586,0.3,2.6,5.558,2.0,2.1,138.8,25,30,2,10
403,AnnaYanami,36.956,0.875,0.375,5.095,3.25,3.125,119.875,24,16,2,8
405,anicomi,16.855,0.667,2.0,5.366,1.333,0.333,116.333,11,5,0,3
410,FoopyPoopy,5.426,0.0,6.0,6.0,0.0,0.0,129.0,1,4,0,1
413,zokie,34.906,1.0,1.0,4.838,1.0,4.0,106.0,0,5,0,1
416,OkitaNobu,21.657,0.8,2.0,5.119,2.0,1.7,131.5,31,27,0,10
417,YellowRose,26.164,0.0,2.0,5.294,0.5,2.0,147.0,3,7,1,2
421,Cherryish,44.079,2.8,0.6,4.883,5.6,5.2,135.4,19,9,0,5
422,MapleSyyrup,24.799,1.429,3.429,4.793,3.0,3.714,135.714,16,20,1,7
430,HaruUrara,26.447,0.333,1.0,5.248,1.667,1.333,115.667,6,9,0,3
446,Hotpot,18.519,0.0,2.0,5.44,2.0,1.0,135.0,3,3,0,1
452,Kynn,62.191,4.9,0.4,4.438,9.9,15.0,147.2,31,23,4,10
453,RyoutaVN,20.31,0.333,1.667,5.45,0.667,1.0,130.333,8,9,0,3
455,l_elf10,35.051,1.2,3.3,5.005,3.7,5.2,154.6,29,27,2,10
462,hakohoka,5.263,0.0,4.0,6.375,1.0,0.0,152.0,3,3,0,1
466,metak,17.55,0.0,0.5,5.932,0.0,1.5,126.0,4,7,0,2
474,Nomu,7.383,0.0,6.0,5.182,0.0,1.0,149.0,4,2,0,1
476,ThePieGod,7.477,0.0,5.0,5.125,0.0,1.0,107.0,1,4,0,1
477,FurLain,32.194,0.556,1.556,5.086,2.222,3.889,134.444,17,29,4,9
486,CH0K0,47.531,2.0,0.0,4.714,6.0,3.0,162.0,4,2,0,1
488,kinjacky,33.333,1.0,0.0,5.135,4.0,2.0,156.0,3,3,0,1
490,fanna,74.614,9.75,0.25,3.995,14.625,26.75,141.5,16,25,4,8
493,chiabobo,8.66,0.0,1.0,4.958,0.5,0.0,99.0,3,7,0,2
500,dreamflyaway,3.947,0.0,5.0,5.833,0.0,0.0,152.0,2,4,0,1
504,Yonakax_,11.382,0.0,5.0,6.071,0.0,0.0,123.0,3,2,0,1
509,internetperson10,18.75,0.0,4.0,6.111,1.0,2.0,144.0,8,4,0,2
511,nekko_khayal,25.631,0.333,1.333,5.366,2.333,1.333,142.333,9,8,0,3
523,seanpk,33.333,2.0,4.0,4.811,2.0,5.0,111.0,2,3,0,1
