Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples
289.0,Provenance,39.998,4.9,0.0,3.796,10.4,7.4,31.0,23.0,0.0,29.1,14.8,31.6,2.5,7.0,0.6,0.5,0.3,3.3,109.8,10
290.0,ac9123,36.795,2.0,0.0,3.942,7.25,6.75,9.0,12.0,1.0,26.5,15.75,30.25,3.75,5.75,0.5,0.5,0.25,3.568,115.25,4
291.0,ss_r_white_pony,40.912,4.9,0.1,3.944,8.7,8.5,26.0,29.0,0.0,25.1,22.5,27.2,2.1,7.6,1.1,0.4,0.1,3.08,115.5,10
292.0,FeyFey,28.036,4.6,0.6,3.665,8.3,5.5,35.0,23.0,0.0,26.7,8.2,42.8,16.1,8.4,2.8,2.5,0.4,3.035,123.4,10
307.0,kaededayo,54.922,4.9,0.2,3.769,9.3,15.9,26.0,30.0,0.0,31.6,34.0,33.7,2.1,4.2,0.5,0.6,1.3,3.492,120.4,10
311.0,beautiful,47.197,2.5,0.375,4.204,7.5,8.375,19.0,21.0,1.0,18.375,40.375,20.75,2.375,5.0,0.75,0.75,0.375,3.459,123.875,8
316.0,HakuiKoyori,28.258,0.8,0.6,4.34,3.4,3.8,23.0,27.0,1.0,17.3,13.6,30.2,12.9,4.5,1.6,1.7,0.2,3.431,109.2,10
318.0,Nephirea,55.389,3.5,0.0,4.059,9.5,13.1,25.0,27.0,3.0,33.2,37.4,33.9,0.7,5.3,0.3,0.1,0.6,3.786,126.5,10
320.0,YunnN,39.555,3.667,0.667,3.948,7.333,9.333,9.0,7.0,0.0,28.0,19.333,28.667,0.667,4.333,0.333,0.0,0.0,3.414,119.667,3
321.0,jaimeywea,44.742,3.3,0.4,4.339,6.6,8.1,30.0,22.0,2.0,32.3,25.1,36.6,4.3,5.0,1.1,0.9,0.4,3.895,125.8,10
322.0,Catge,36.074,2.3,0.1,4.351,5.0,4.7,24.0,31.0,0.0,26.6,17.6,30.9,4.3,3.1,0.7,0.8,0.1,3.809,122.9,10
325.0,Swapin,45.478,3.5,0.1,4.157,7.5,7.6,26.0,27.0,1.0,31.7,24.2,40.4,8.7,3.8,1.2,1.9,0.6,3.712,122.8,10
326.0,pomo,39.762,4.2,0.1,3.952,8.5,8.0,28.0,26.0,0.0,32.0,13.1,42.7,10.7,6.9,2.9,2.5,0.2,3.205,113.9,10
327.0,Flato,49.806,2.556,0.0,3.981,7.333,10.778,25.0,21.0,1.0,28.333,26.889,35.556,7.222,4.0,1.111,2.667,0.333,3.423,110.444,9
328.0,tskr,33.679,3.6,0.3,3.945,7.0,5.7,26.0,30.0,0.0,26.5,10.0,44.3,17.8,6.2,4.3,4.1,0.3,2.95,108.2,10
330.0,_nadeshiko,39.461,2.8,0.4,4.068,7.1,8.0,25.0,27.0,1.0,16.1,31.5,17.8,1.7,5.7,0.3,0.6,0.2,3.435,121.0,10
334.0,2skr,29.641,4.2,0.2,3.945,8.5,6.1,30.0,27.0,0.0,22.0,15.4,24.3,2.3,8.3,0.7,0.5,0.3,2.949,124.7,10
335.0,xeyz,33.386,1.5,0.2,4.426,4.4,4.0,32.0,21.0,1.0,36.2,3.2,81.5,45.3,7.7,7.5,7.7,0.0,3.117,119.1,10
336.0,fiftypercentweeb,39.044,1.2,0.2,4.12,6.0,6.0,14.0,14.0,0.0,27.8,16.4,37.2,9.4,4.8,1.8,1.8,0.4,3.552,112.0,5
338.0,ranny,24.15,3.2,1.0,4.015,5.4,4.5,24.0,31.0,0.0,16.3,14.0,24.0,7.7,8.0,2.9,1.5,0.1,2.678,125.3,10
343.0,inta,27.183,2.6,0.7,4.172,5.6,4.1,28.0,28.0,0.0,21.4,11.3,26.4,5.0,5.3,1.0,0.8,0.1,3.545,121.5,10
344.0,Naizuri,42.598,1.6,0.0,4.13,6.4,6.7,32.0,22.0,0.0,29.5,20.2,34.7,5.2,2.8,0.9,1.1,0.2,3.854,114.8,10
347.0,Selaph,50.486,4.6,0.6,3.916,8.4,11.8,13.0,13.0,0.0,28.4,31.0,30.4,2.0,5.8,0.2,0.6,0.8,3.546,116.2,5
348.0,Heleos,32.846,2.9,0.0,3.827,6.3,6.2,28.0,26.0,1.0,23.9,11.3,30.0,6.1,6.9,1.3,2.1,0.2,3.065,106.1,10
349.0,Porte,30.319,3.9,0.3,3.914,7.4,7.5,35.0,21.0,1.0,23.1,14.2,27.3,4.2,7.4,1.3,0.6,0.4,3.046,122.1,10
351.0,kabigon,66.471,5.0,2.0,4.478,10.0,18.0,4.0,2.0,0.0,52.0,61.0,52.0,0.0,0.0,0.0,0.0,3.0,4.692,170.0,1
353.0,Solosion,42.488,1.9,0.5,4.313,6.2,6.2,22.0,30.0,0.0,24.5,27.8,27.3,2.8,4.5,0.3,0.6,0.4,3.991,122.5,10
356.0,Isekaijoucho,40.035,2.2,0.6,4.283,6.6,6.5,26.0,24.0,1.0,27.3,19.9,40.5,13.2,4.4,0.9,2.3,0.6,3.783,117.5,10
357.0,chommy,32.057,3.4,0.1,4.062,6.4,6.9,25.0,31.0,0.0,18.4,19.2,19.1,0.7,5.2,0.4,0.2,0.3,3.511,117.3,10
358.0,mangoss,49.059,2.2,0.0,4.293,5.7,10.1,27.0,29.0,0.0,38.3,25.6,45.5,7.2,5.9,0.9,2.0,0.2,3.89,129.7,10
363.0,Wiwmek,12.721,1.167,0.333,4.004,2.5,2.667,13.0,21.0,0.0,11.167,3.333,34.667,23.5,4.333,1.667,2.333,0.0,3.132,116.167,6
364.0,I_dont_like_loli,34.073,1.1,0.1,4.299,4.9,4.0,28.0,28.0,0.0,20.3,15.0,26.5,6.2,3.9,1.4,1.2,0.1,3.356,103.2,10
366.0,AitsukiNakuru,49.742,3.7,0.0,4.007,8.5,11.9,25.0,32.0,1.0,44.5,16.7,56.8,12.3,6.6,2.6,3.6,0.6,3.523,123.3,10
367.0,PotassiumF,41.22,2.7,0.1,4.085,6.3,6.8,24.0,31.0,0.0,31.4,16.0,32.7,1.3,4.9,0.1,0.3,0.2,3.83,114.6,10
368.0,arpia97,36.468,2.6,0.2,4.005,6.5,6.1,26.0,26.0,1.0,29.0,12.4,42.1,13.1,4.8,2.5,2.6,0.1,3.16,114.8,10
369.0,florenz,44.905,2.3,0.7,4.172,7.2,10.5,30.0,25.0,1.0,25.4,34.8,38.2,12.8,6.5,2.3,3.1,0.4,3.608,134.9,10
370.0,Andrey_K,31.662,3.714,0.714,3.734,8.286,6.429,22.0,17.0,0.0,22.143,14.286,25.143,3.0,5.714,0.143,0.429,0.286,3.43,116.286,7
373.0,harges,45.89,2.9,0.4,4.073,8.5,9.3,30.0,27.0,1.0,26.4,34.0,28.5,2.1,3.2,0.3,0.4,0.7,3.924,129.7,10
376.0,qwecocacola,43.391,2.6,0.1,4.294,6.7,8.4,21.0,32.0,2.0,30.8,27.5,32.8,2.0,6.0,0.5,0.5,0.1,3.976,134.4,10
378.0,erzakuran,8.958,0.6,1.5,4.341,2.5,0.4,27.0,28.0,1.0,8.8,1.6,13.1,4.3,2.9,0.6,0.6,0.1,3.722,115.8,10
379.0,CipherKai,57.805,3.5,0.0,4.015,8.7,15.7,26.0,28.0,1.0,48.2,23.2,55.4,7.2,4.8,1.3,2.2,0.2,3.728,123.8,10
381.0,Goko8765,19.399,2.25,0.25,3.811,4.625,3.125,24.0,19.0,0.0,17.375,5.0,30.75,13.375,6.75,2.375,3.375,0.0,2.857,113.125,8
382.0,Shiku,32.5,0.444,0.222,4.616,3.444,4.111,31.0,15.0,1.0,24.667,13.556,36.333,11.667,3.222,1.444,1.778,0.0,3.932,117.889,9
383.0,molneya,17.53,3.0,0.167,3.371,5.667,2.833,15.0,19.0,0.0,15.167,3.167,19.667,4.5,5.167,1.333,0.833,0.0,2.908,102.667,6
388.0,Tsuni,17.735,1.5,2.5,4.25,4.0,3.5,6.0,5.0,0.0,17.0,5.0,38.0,21.0,9.0,5.0,3.0,0.0,3.204,125.5,2
389.0,sharet,42.6,3.0,1.8,4.43,7.4,6.6,11.0,17.0,0.0,24.6,29.4,27.6,3.0,4.6,0.4,0.4,0.4,4.175,125.8,5
391.0,rinshantsumo,24.615,0.0,0.0,4.406,8.0,1.0,5.0,1.0,0.0,31.0,1.0,37.0,6.0,3.0,1.0,0.0,0.0,4.0,130.0,1
392.0,rna,38.759,3.0,0.0,3.985,7.333,6.5,14.0,17.0,0.0,31.0,8.833,36.167,5.167,5.0,1.167,1.167,0.0,3.525,101.833,6
393.0,Kyuuuu,30.294,2.7,0.7,4.083,6.6,5.6,40.0,18.0,0.0,29.5,7.5,37.0,7.5,4.9,0.6,1.6,0.2,3.671,122.5,10
394.0,Komari,53.938,3.9,0.3,3.918,9.9,12.7,29.0,20.0,3.0,35.3,27.6,39.6,4.3,4.7,0.7,1.1,1.6,3.822,116.7,10
395.0,LordGrond,25.816,2.3,0.5,4.0,5.3,3.5,19.0,35.0,0.0,18.4,9.2,20.3,1.9,3.1,0.4,0.6,0.5,3.426,107.1,10
398.0,kabao,38.172,2.889,0.889,4.015,7.222,6.111,27.0,23.0,0.0,22.333,22.222,30.667,8.333,5.0,0.667,2.333,0.333,3.471,116.889,9
399.0,ElJuanchi,26.974,1.6,0.5,4.446,3.7,4.1,22.0,33.0,1.0,17.6,17.1,21.2,3.6,2.6,0.8,1.2,0.2,3.668,128.0,10
400.0,Vr0003,26.453,2.3,1.3,3.824,6.7,4.7,23.0,34.0,0.0,23.5,10.0,35.6,12.1,5.9,2.5,2.0,0.1,3.142,126.1,10
401.0,Spartric,26.153,0.6,0.4,4.417,2.2,4.4,28.0,25.0,0.0,21.9,7.0,35.1,13.2,3.1,1.0,2.9,0.0,3.699,110.4,10
403.0,AnnaYanami,46.517,4.3,0.1,4.031,8.0,9.3,27.0,26.0,1.0,23.6,30.9,25.2,1.6,4.1,0.8,0.4,1.1,3.489,117.2,10
404.0,anatharax,26.817,3.8,0.7,3.522,6.8,5.0,29.0,26.0,0.0,23.0,4.7,27.0,4.0,6.1,0.8,1.5,0.1,3.007,104.7,10
