Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
277,2026-04-29 15:29:38,12.605,chemist,32.593,11.085,6,9,1,4.405,16,50,28.205,29.412,9,16,44,137,10,12,0,90.909,21.239,19.767,22,8,1,20,5,1,1,3.636,24
285,2026-04-08 16:31:17,7.021,miiarad,40.0,13.742,6,19,1,4.592,25,36.364,47.222,43.59,11,18,49,123,11,7,0,80.769,26.582,28.455,35,9,3,27,8,3,1,3.771,22
286,2026-01-21 19:41:45,16.617,Lakumix,34.579,10.569,6,21,1,3.568,18,52.632,25.49,37.838,12,11,37,107,4,11,1,83.333,8.974,28.972,31,8,4,24,7,2,2,2.645,13
289,2026-01-24 03:16:34,8.755,Provenance,36.066,11.938,6,10,0,3.545,24,38.095,39.13,32.727,10,8,44,122,4,2,0,71.429,21.839,28.689,35,11,4,25,10,3,0,2.486,19
291,2026-05-07 09:22:15,10.485,ss_r_white_pony,36.585,11.025,7,9,0,4.0,22,33.333,41.176,43.333,9,12,38,122,17,8,0,90,19.355,26.724,31,7,4,26,8,2,0,3.0,14
307,2026-03-31 01:25:22,11.63,kaededayo,46.847,13.623,4,11,0,4.159,25,63.636,40.385,45.946,8,13,52,117,9,3,0,92.593,22.857,36.937,41,9,0,36,5,2,0,3.444,19
311,2026-05-11 15:24:40,10.136,beautiful,45.361,13.334,4,14,0,4.14,20,72.727,46.809,38.71,12,9,50,130,8,9,0,83.333,37.5,17.925,19,5,2,15,4,2,2,3.444,35
318,2026-05-09 11:38:22,17.464,Nephirea,44.762,14.79,7,8,0,3.5,28,40,43.59,48.718,10,12,47,105,6,5,0,92,30,27.184,28,5,2,24,4,2,0,3.04,24
320,2026-05-15 10:45:58,8.851,YunnN,35.484,11.025,7,7,1,4.068,18,31.034,42,31.111,9,9,44,124,5,7,0,90.625,16.304,25.806,32,6,2,29,6,3,0,3.688,15
321,2026-05-14 09:57:33,9.0,jaimeywea,33.01,8.784,2,10,1,4.059,11,47.059,38.636,21.429,5,2,34,103,2,4,0,70.588,14.493,33.01,34,4,0,24,10,1,1,3.706,10
322,2026-06-10 16:14:16,12.85,Catge,40.659,10.297,5,9,1,5.065,9,57.895,42.424,52.632,10,13,56,145,106,88,2,93.75,8.75,35.664,51,9,7,38,14,4,2,4.516,20
326,2026-04-18 18:35:11,14.134,pomo,38.318,11.638,7,21,1,4.214,20,39.13,36.585,46.341,10,9,41,126,8,8,0,67.308,9.756,48.598,52,9,8,35,17,3,1,3.184,8
327,2026-05-28 23:51:53,6.032,Flato,32.258,7.142,2,15,0,4.4,10,50,29.545,25,4,6,40,124,4,2,0,65.116,14.815,34.677,43,3,3,28,15,5,0,3.419,12
330,2026-01-22 02:29:21,10.0,_nadeshiko,27.586,9.909,6,17,1,3.438,18,42.857,29.825,20,10,7,32,116,5,1,0,69.565,17.204,19.828,23,8,3,16,7,1,1,2.174,16
334,2026-06-06 18:33:36,5.16,2skr,29.915,13.402,10,9,4,4.6,9,9.524,9.756,40.426,12,7,39,149,57,54,1,81.481,9.333,27.778,35,13,10,26,13,3,1,3.429,13
335,2026-06-10 16:14:16,4.405,xeyz,19.118,4.366,1,9,1,5.769,9,9.524,8.511,9.677,4,5,26,136,31,46,0,24.658,6.061,78.947,100,15,20,21,79,17,0,3.437,5
344,2026-06-03 12:00:12,10.458,Naizuri,37.037,8.055,2,13,0,4.65,12,55.556,40.426,39.13,6,5,41,112,5,7,0,68.182,25.926,40.741,44,3,2,30,14,4,1,3.795,21
348,2026-05-11 15:24:40,11.606,Heleos,38.614,11.86,5,7,2,5.023,8,57.143,45.283,30.357,10,13,45,149,24,28,0,85.714,21.212,34.653,42,12,6,30,13,5,1,4.2,20
349,2026-06-10 16:14:16,16.426,Porte,45.545,15.35,8,9,2,4.769,7,61.111,9.677,40,13,14,46,138,66,70,0,92.308,9.302,32.673,36,14,5,30,11,6,1,3.167,17
356,2026-06-03 12:00:12,11.409,Isekaijoucho,32.54,10.132,3,23,3,4.73,9,44,34.043,35.417,6,10,41,145,16,17,0,57.447,9.783,45.902,56,6,7,28,28,7,1,3.792,14
357,2026-06-04 15:51:41,14.826,chommy,37.113,14.691,9,9,3,4.591,9,7.143,8.889,47.619,14,19,55,159,107,100,2,96.296,9.91,25.641,33,12,4,30,5,2,3,4.316,25
358,2026-06-10 16:14:16,12.9,mangoss,46.721,14.528,9,9,1,4.796,33,60.714,51.22,48.837,14,17,62,151,63,56,1,83.019,4.348,51.639,68,11,10,48,25,6,2,3.837,30
367,2026-05-12 11:36:19,6.513,PotassiumF,37.398,9.447,4,14,1,4.242,19,30.435,40,39.13,8,16,46,147,7,9,0,75.676,13.699,40.65,50,6,4,36,14,3,1,3.541,15
